year,state,all_death,nat_death,syn_death,methad_death,heroin_death,presc_rate,treat_fac,uninsur,uninsur_rate,insur,insur_rate,labor_force,employed,employed_rate,unemployed,unemployed_rate,poverty,poverty_rate,median_income
2008,Texas,944,440,86,173,250,71.3,401,5494593,25.7,15854396,74.3,11664407,11104135,95.44448818897638,560272,4.55551181102362,3755944,15.8,50049
2008,Utah,350,227,26,99,68,91.3,114,399117,16.3,2055678,83.7,1371201,1322089,96.00689655172414,49112,3.99310344827586,261556,9.7,56820
2008,Vermont,57,32,14,17,NA,56.5,36,53056,10.3,463796,89.7,354891,338284,94.93571428571428,16607,5.06428571428571,62505,10.4,52111
2008,Virginia,490,216,89,139,87,73,111,874962,13.2,5739146,86.8,4133464,3970441,95.20902255639098,163023,4.79097744360902,766852,10.2,61210
2008,Washington,690,302,53,290,67,86.6,390,796579,14,4877539,86,3478579,3291311,93.37435897435898,187268,6.62564102564102,727156,11.3,58081
2008,West Virginia,371,218,87,86,36,145.5,62,259978,17.4,1230893,82.6,812905,777560,95.08545454545455,35345,4.91454545454545,308064,17.4,37528
2008,Wisconsin,369,176,53,119,67,70.6,203,476388,10,4276098,90,3091808,2940442,94.5875,151366,5.4125,573574,10.5,52103
2008,Wyoming,40,19,11,NA,NA,81,44,71703,15.8,383511,84.2,293279,284308,96.85217391304349,8971,3.14782608695652,49465,9.5,54735
2009,Alabama,206,92,31,88,12,131.6,99,623621,15.8,3323605,84.2,2163003,1924749,86.82835820895531,238254,13.1716417910447,805223,17.5,40547
2009,Alaska,90,60,22,21,NA,67.3,63,144785,22.7,492416,77.3,359653,331794,90.25555555555556,27859,9.74444444444444,61949,9.1,66712
2009,Arizona,605,312,55,105,84,84.2,175,1118761,19.9,4512720,80.1,3128111,2817578,87.0666666666667,310533,12.9333333333333,1065728,16.5,48711
2009,Arkansas,201,124,59,70,NA,116,33,471567,19.6,1936136,80.4,1358908,1252399,91.344,106509,8.656,519026,18.5,37888
2009,California,1987,1147,201,426,352,55.6,1491,6491176,20.1,25824942,79.9,18215141,16182572,87.6017241379311,2032569,12.3982758620689,5132640,14.2,58925
2009,Colorado,397,170,68,57,70,69.8,356,756645,17.2,3643276,82.8,2722989,2524446,93.50625,198543,6.49375,618676,12.6,55735
2009,Connecticut,216,31,20,42,99,68.1,156,299521,10.2,2646151,89.8,1891085,1740975,92.2625,150110,7.7375,318008,9.3,66906
2009,Delaware,81,41,19,21,NA,97.5,30,88758,12,649051,88,437499,401311,91.8,36188,8.2,96409,11.2,56985
2009,District of Columbia,13,NA,NA,NA,NA,34.4,36,40951,8.2,459566,91.8,335672,304500,90.7,31172,9.3,100489,17.6,58906
2009,Florida,1590,1011,171,471,96,86.3,454,3735524,24.9,11241650,75.1,9094832,8148129,89.9208955223881,946703,10.0791044776119,2712692,15,44755
2009,Georgia,490,252,83,165,21,88.2,158,1815729,21.2,6735725,78.8,4787765,4311867,89.15157232704411,475898,10.8484276729559,1585116,16.6,47469
2009,Hawaii,57,35,NA,20,NA,47.8,114,91365,8.2,1022068,91.8,631691,586523,91.225,45168,8.775,131896,10.4,63741
2009,Idaho,62,35,11,16,NA,85.2,62,257017,19.3,1072019,80.7,757130,690719,91.20909090909092,66411,8.79090909090909,217528,14.4,44644
2009,Illinois,886,195,111,88,116,61,582,1658111,15,9391428,85,6618657,5943223,90.05490196078432,675434,9.94509803921568,1671343,13.3,53974
2009,Indiana,319,148,64,80,63,105.6,267,882602,16.2,4551518,83.8,3194005,2864992,89.0826086956522,329013,10.9173913043478,895619,14.4,45427
2009,Iowa,141,83,35,31,NA,60.4,85,247530,10,2239385,90,1687417,1579249,93.20101010101011,108168,6.79898989898989,342309,11.8,48065
2009,Kansas,148,60,35,45,11,82.8,178,349636,14.6,2042590,85.4,1518218,1413878,94.3352380952381,104340,5.6647619047619,359692,13.2,47709
2009,Kentucky,434,290,65,92,23,135.2,270,601743,16.5,3037811,83.5,2060171,1847134,88.5841666666667,213037,11.4158333333333,771876,18.4,40061
2009,Louisiana,122,57,16,19,11,113,126,766181,20,3059239,80,2064776,1923890,91.94375,140886,8.05625,769001,17.6,42460
2009,Maine,114,75,16,40,NA,87.9,148,135054,12.5,947600,87.5,696244,639935,91.03125,56309,8.96875,161504,12.6,45708
2009,Maryland,586,192,52,136,156,66.9,292,627606,12.9,4254164,87.1,3032700,2820247,92.35,212453,7.65,509141,9.2,69193
2009,Massachusetts,622,153,63,116,61,68.9,236,269241,4.9,5254315,95.1,3470388,3189008,92.05714285714286,281380,7.94285714285714,658497,10.3,64057
